order_id,customer_id,order_date,product_id,quantity,status,payment_method,total_amount
ORD-00000001,CUST-000720,2025-03-21,PROD-00196,3,pending,PayPal,32.09
ORD-00000002,CUST-000891,2025-07-04,PROD-00037,5,cancelled,PayPal,157.78
ORD-00000003,CUST-000759,2025-08-18,PROD-00163,1,completed,Debit Card,1070.36
ORD-00000004,CUST-000386,2025-05-17,PROD-00108,4,pending,Credit Card,752.71
ORD-00000005,CUST-000739,2025-12-06,PROD-00084,5,cancelled,Credit Card,1769.02
ORD-00000006,CUST-000160,2025-05-17,PROD-00041,5,completed,Debit Card,181.53
ORD-00000007,CUST-000454,2025-12-21,PROD-00170,4,pending,Debit Card,895.25
ORD-00000008,CUST-000280,2026-02-18,PROD-00056,5,completed,PayPal,871.23
ORD-00000009,CUST-000291,2026-01-26,PROD-00174,5,pending,Debit Card,1340.92
ORD-00000010,CUST-000047,2025-05-22,PROD-00057,4,cancelled,Credit Card,35.22
ORD-00000011,CUST-000309,2026-01-20,PROD-00055,2,pending,PayPal,669.68
ORD-00000012,CUST-000008,2025-10-26,PROD-00128,4,completed,Credit Card,772.81
ORD-00000013,CUST-000721,2025-10-23,PROD-00059,5,cancelled,Debit Card,1616.28
ORD-00000014,CUST-000074,2025-10-01,PROD-00102,1,pending,Credit Card,930.31
ORD-00000015,CUST-000080,2025-12-10,PROD-00081,5,pending,Debit Card,820.76
ORD-00000016,CUST-000656,2025-06-27,PROD-00107,3,completed,PayPal,61.3
ORD-00000017,CUST-000333,2025-04-06,PROD-00044,5,pending,Debit Card,1841.14
ORD-00000018,CUST-000091,2025-07-21,PROD-00112,1,completed,PayPal,1185.97
ORD-00000019,CUST-000537,2025-08-25,PROD-00021,4,pending,Debit Card,692.24
ORD-00000020,CUST-000342,2025-04-17,PROD-00200,2,completed,Debit Card,1273.78
ORD-00000021,CUST-000544,2025-08-21,PROD-00131,2,pending,PayPal,1460.21
ORD-00000022,CUST-000839,2026-01-10,PROD-00166,2,completed,Credit Card,309.96
ORD-00000023,CUST-000203,2025-05-05,PROD-00045,5,completed,Debit Card,169.2
ORD-00000024,CUST-000975,2025-04-28,PROD-00198,4,pending,Debit Card,1524.56
ORD-00000025,CUST-000460,2025-08-07,PROD-00175,5,cancelled,Debit Card,1973.33
ORD-00000026,CUST-000331,2025-04-24,PROD-00161,3,completed,PayPal,155.21
ORD-00000027,CUST-000453,2025-07-25,PROD-00162,3,pending,Debit Card,131.22
ORD-00000028,CUST-000520,2025-11-29,PROD-00019,3,pending,PayPal,94.46
ORD-00000029,CUST-000378,2025-11-09,PROD-00074,1,cancelled,Credit Card,1237.72
ORD-00000030,CUST-000520,2025-08-12,PROD-00099,4,cancelled,Debit Card,1909.38
ORD-00000031,CUST-000757,2025-03-30,PROD-00011,4,cancelled,Debit Card,392.71
ORD-00000032,CUST-000620,2026-01-06,PROD-00122,5,completed,Credit Card,912.04
ORD-00000033,CUST-000831,2025-12-24,PROD-00088,1,cancelled,Debit Card,361.67
ORD-00000034,CUST-000254,2025-03-02,PROD-00182,4,pending,Debit Card,1055.04
ORD-00000035,CUST-000163,2025-04-24,PROD-00094,3,pending,PayPal,829.36
ORD-00000036,CUST-000347,2025-03-20,PROD-00174,5,completed,Debit Card,1301.66
ORD-00000037,CUST-000068,2025-08-29,PROD-00085,1,cancelled,Debit Card,785.4
ORD-00000038,CUST-000259,2025-09-03,PROD-00186,5,completed,PayPal,181.37
ORD-00000039,CUST-000680,2025-07-14,PROD-00037,3,pending,Debit Card,1402.99
ORD-00000040,CUST-000402,2025-07-26,PROD-00034,5,cancelled,Credit Card,632.97
ORD-00000041,CUST-000386,2025-04-09,PROD-00165,3,completed,Debit Card,1411.61
ORD-00000042,CUST-000970,2025-11-04,PROD-00190,5,completed,Debit Card,1347.5
ORD-00000043,CUST-000521,2025-05-21,PROD-00093,1,pending,PayPal,376.92
ORD-00000044,CUST-000220,2025-06-09,PROD-00088,4,completed,Credit Card,1999.95
ORD-00000045,CUST-000159,2025-06-25,PROD-00020,3,completed,Debit Card,1546.33
ORD-00000046,CUST-000856,2025-12-20,PROD-00190,5,completed,Debit Card,686.79
ORD-00000047,CUST-000785,2025-06-25,PROD-00159,2,cancelled,PayPal,325.42
ORD-00000048,CUST-000186,2025-10-02,PROD-00178,5,completed,Debit Card,886.59
ORD-00000049,CUST-000421,2025-04-02,PROD-00094,2,pending,Debit Card,584.16
ORD-00000050,CUST-000767,2025-11-13,PROD-00115,2,cancelled,Credit Card,632.75
ORD-00000051,CUST-000829,2025-03-20,PROD-00121,2,pending,Debit Card,1895.32
ORD-00000052,CUST-000452,2026-01-24,PROD-00119,3,pending,Debit Card,1064.37
ORD-00000053,CUST-000990,2026-02-04,PROD-00042,2,cancelled,Credit Card,1748.54
ORD-00000054,CUST-000054,2026-01-21,PROD-00165,4,pending,Debit Card,1869.9
ORD-00000055,CUST-000729,2025-10-10,PROD-00133,1,pending,Credit Card,1530.97
ORD-00000056,CUST-000280,2025-11-20,PROD-00116,5,completed,PayPal,201.59
ORD-00000057,CUST-000933,2025-07-31,PROD-00057,4,pending,Credit Card,841.5
ORD-00000058,CUST-000406,2025-11-26,PROD-00129,3,completed,PayPal,1989.16
ORD-00000059,CUST-000384,2025-11-05,PROD-00058,1,pending,Credit Card,1681.57
ORD-00000060,CUST-000666,2025-11-17,PROD-00086,2,completed,Credit Card,588.02
ORD-00000061,CUST-000850,2025-11-13,PROD-00121,2,cancelled,PayPal,908.23
ORD-00000062,CUST-000006,2025-09-25,PROD-00021,1,pending,Credit Card,1673.23
ORD-00000063,CUST-000562,2025-12-19,PROD-00187,5,cancelled,PayPal,240.15
ORD-00000064,CUST-000296,2025-08-27,PROD-00061,3,completed,Credit Card,492.11
ORD-00000065,CUST-000655,2025-04-18,PROD-00160,4,completed,Credit Card,1676.64
ORD-00000066,CUST-000512,2025-02-24,PROD-00153,5,completed,Debit Card,1040.44
ORD-00000067,CUST-000248,2025-09-27,PROD-00184,2,pending,PayPal,23.1
ORD-00000068,CUST-000362,2025-10-26,PROD-00062,5,pending,Credit Card,1335.46
ORD-00000069,CUST-000088,2025-08-06,PROD-00135,3,completed,Debit Card,1097.28
ORD-00000070,CUST-000806,2025-06-19,PROD-00130,5,completed,PayPal,1749.2
ORD-00000071,CUST-000045,2025-04-27,PROD-00163,4,pending,PayPal,1499.69
ORD-00000072,CUST-000366,2025-11-13,PROD-00018,3,completed,Debit Card,1321.07
